,0,1,2,3,4,5,6,7
index,count,mean,std,min,25%,50%,75%,max
TwoStars,244.0,17.483606557377048,12.913280627665682,0.0,8.0,15.0,23.0,68.0
ThreeStars,244.0,52.950819672131146,12.897093467192692,20.0,44.0,54.0,61.25,86.0
FourStars,244.0,21.37295081967213,15.952483645711949,0.0,9.0,16.0,33.0,62.0
FiveStars,244.0,1.9344262295081966,2.920729670707362,0.0,0.0,1.0,3.0,16.0
lagged_srs,244.0,6.1998483606557375,8.276342452093091,-14.87,0.635,6.055,12.270000000000001,24.51
stateunemp,244.0,7.8220081967213115,1.9369992022191331,3.27,6.4575,7.76,9.282499999999999,12.58
stadium_cap,244.0,68544.6762295082,17710.13023463303,32740.0,55000.0,64150.5,82112.0,109901.0
stadium_years_open,244.0,69.99590163934427,26.01368711449219,1.0,53.0,83.0,89.0,101.0
stadium_years_rennovation,244.0,6.438524590163935,4.971556077393531,0.0,2.0,6.0,10.0,25.0
num_homegames,244.0,6.700819672131147,0.6124894760683993,5.0,6.0,7.0,7.0,8.0
coach_experience,244.0,7.778688524590164,6.331074704576586,0.0,3.0,6.0,11.0,28.0
conf_coy,244.0,0.6270491803278688,0.48458320901598595,0.0,0.0,1.0,1.0,1.0
nat_coy,244.0,0.24180327868852458,0.4290558423725047,0.0,0.0,0.0,0.0,1.0
coach_years_at_school,244.0,4.352459016393443,4.946499167154394,0.0,1.0,3.0,6.0,27.0
pop/d1prog,244.0,2689560.613740574,1611197.9441736077,742609.25,1544938.0,2202384.0,3370693.0,8943010.0
hs_grad_pct,244.0,88.66631147540984,2.883879189269895,82.0,86.8675,88.905,90.96,94.04
pro_team_per_million,244.0,0.3166630153442623,0.2536381926571022,0.0,0.0,0.306013237,0.454118655,1.036609775
spring_practice,244.0,0.5901639344262295,0.49281418063638194,0.0,0.0,1.0,1.0,1.0
num_jcs,244.0,1.9754098360655739,3.519406783987689,0.0,0.0,0.0,1.0,14.0
power,244.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ResponsiveRevThous,244.0,30226.520796803277,20838.280691295677,4445.431,15162.086500000001,24237.83,40881.637749999994,151379.853
