,0,1,2,3,4,5,6,7
index,count,mean,std,min,25%,50%,75%,max
TwoStars,378.0,33.37830687830688,25.266794037735846,0.0,12.0,25.0,58.0,96.0
ThreeStars,378.0,44.13756613756614,17.6661379819099,6.0,29.0,46.0,59.0,86.0
FourStars,378.0,14.148148148148149,16.137481594456293,0.0,1.0,9.0,21.0,62.0
FiveStars,378.0,1.2566137566137565,2.5189512288631466,0.0,0.0,0.0,1.0,16.0
lagged_srs,378.0,1.7940026455026457,10.246744309889245,-23.53,-5.344999999999999,2.17,8.7575,24.51
stateunemp,378.0,7.93989417989418,1.9252277386159613,3.27,6.68,7.82,9.259999999999998,13.5
stadium_cap,378.0,56468.02380952381,22394.333333939194,20000.0,36096.75,55000.0,72000.0,109901.0
stadium_years_open,378.0,61.16931216931217,27.023575718591946,0.0,43.0,64.0,86.0,101.0
stadium_years_rennovation,378.0,7.058201058201059,5.7643189435132145,0.0,3.0,6.0,10.0,27.0
num_homegames,378.0,6.420634920634921,0.7285737814097388,4.0,6.0,6.0,7.0,8.0
coach_experience,378.0,6.542328042328043,6.177271326240364,0.0,2.0,5.0,10.0,28.0
conf_coy,378.0,0.5317460317460317,0.49965252546581845,0.0,0.0,1.0,1.0,1.0
nat_coy,378.0,0.17724867724867724,0.3823851524825389,0.0,0.0,0.0,0.0,1.0
coach_years_at_school,378.0,3.7645502645502646,4.445975432068829,0.0,1.0,2.0,5.0,27.0
pop/d1prog,378.0,2376952.8824613756,1460976.7803608642,564376.0,1443371.125,1975239.8,2842535.2860000003,8943010.0
hs_grad_pct,378.0,88.31129629629629,2.9500278579877888,82.0,86.5925,88.215,90.9,94.86
pro_team_per_million,378.0,0.2945876005687831,0.24803846826629825,0.0,0.0,0.306768145,0.45711445775000004,1.036609775
spring_practice,378.0,0.5767195767195767,0.49473389218040126,0.0,0.0,1.0,1.0,1.0
num_jcs,378.0,1.812169312169312,3.3708313566415375,0.0,0.0,0.0,1.0,14.0
power,378.0,0.6455026455026455,0.47899473230285594,0.0,0.0,1.0,1.0,1.0
ResponsiveRevThous,378.0,20868.104730052906,21085.025098323473,454.222,3882.6825000000003,14827.937,30601.3505,151379.853
