,year,team,num_2_stars_committed,num_3_stars_committed,num_4_stars_committed,num_5_stars_committed
0,2006,alabama,0,11,10,2
1,2007,alabama,3,11,10,0
2,2008,alabama,2,8,19,3
3,2009,alabama,0,9,14,4
4,2010,alabama,1,9,15,1
5,2011,alabama,0,5,14,3
6,2012,alabama,0,9,14,3
7,2013,alabama,0,8,13,4
8,2014,alabama,1,6,13,6
9,2006,appalachianstate,1,0,0,0
10,2007,appalachianstate,17,0,0,0
11,2008,appalachianstate,13,2,0,0
12,2009,appalachianstate,14,1,0,0
13,2010,appalachianstate,12,4,0,0
14,2011,appalachianstate,16,1,0,0
15,2012,appalachianstate,17,1,0,0
16,2013,appalachianstate,15,1,0,0
17,2014,appalachianstate,25,2,0,0
18,2006,arizona,1,17,6,1
19,2007,arizona,5,9,4,0
20,2008,arizona,6,12,5,0
21,2009,arizona,4,17,3,0
22,2010,arizona,3,17,4,0
23,2011,arizona,5,15,1,0
24,2012,arizona,5,17,2,0
25,2013,arizona,5,17,2,0
26,2014,arizona,4,13,6,0
27,2006,arizonastate,3,16,5,0
28,2007,arizonastate,9,13,2,0
29,2008,arizonastate,3,19,6,0
30,2009,arizonastate,5,12,4,1
31,2010,arizonastate,4,17,5,0
32,2011,arizonastate,9,8,2,0
33,2012,arizonastate,5,15,3,0
34,2013,arizonastate,4,18,3,0
35,2014,arizonastate,2,18,7,0
36,2006,arkansas,7,14,4,1
37,2007,arkansas,6,17,4,0
38,2008,arkansas,10,10,6,0
39,2009,arkansas,1,21,8,1
40,2010,arkansas,4,18,3,0
41,2011,arkansas,2,26,4,0
42,2012,arkansas,1,20,2,0
43,2013,arkansas,5,14,4,0
44,2014,arkansas,5,17,3,0
45,2006,arkansasstate,20,1,0,0
46,2007,arkansasstate,24,4,0,0
47,2008,arkansasstate,23,1,0,0
48,2009,arkansasstate,19,1,0,0
49,2010,arkansasstate,20,6,0,0
50,2011,arkansasstate,15,7,0,0
51,2012,arkansasstate,12,16,0,0
52,2013,arkansasstate,18,1,0,0
53,2014,arkansasstate,21,3,0,0
54,2006,army,10,0,0,0
55,2007,army,18,0,0,0
56,2008,army,30,0,0,0
57,2009,army,54,0,0,0
58,2010,army,47,1,0,0
59,2011,army,1,0,0,0
60,2006,auburn,3,7,14,1
61,2007,auburn,2,15,13,0
62,2008,auburn,7,16,4,1
63,2009,auburn,3,16,9,0
64,2010,auburn,2,13,13,3
65,2011,auburn,0,10,13,1
66,2012,auburn,0,8,13,0
67,2013,auburn,0,13,9,2
68,2014,auburn,2,8,11,3
69,2006,baylor,18,10,0,0
70,2007,baylor,14,12,1,0
71,2008,baylor,14,8,1,0
72,2009,baylor,11,14,3,0
73,2010,baylor,2,17,4,0
74,2011,baylor,4,15,1,0
