Program,Year,ResponsiveRev,TwoStars,ThreeStars,FourStars,FiveStars,srs,lagged_srs,stateunemp,stadium_cap,stadium_years_open,stadium_years_rennovation,num_homegames,coach_experience,conf_coy,nat_coy,coach_years_at_school,new_coach,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs,power
Alabama,2010,44610269,6,38,58,8,18.31,23.69,10.54,92138,81,0,7,14,1,1,3,0,1196394.75,86.9,0,1,0,1
Alabama,2011,48357063,3,32,62,11,24.44,18.31,9.62,101821,82,1,7,15,1,1,4,0,1199662.25,85.2,0,1,0,1
Alabama,2012,50950527,1,33,57,11,24.51,24.44,7.98,92138,83,2,7,16,1,1,5,0,962789.2,86.33,0,1,0,1
Alabama,2013,56992434,1,32,56,11,20.06,24.51,7.22,101821,84,3,7,17,1,1,6,0,965532,86.59,0,1,0,1
Alabama,2014,72449359,1,29,54,16,20.34,20.06,6.77,101821,85,4,7,18,1,1,7,0,968007.4,86.86,0,1,0,1
Arizona,2010,15642452,20,55,16,0,8.14,6.98,10.35,57803,82,22,6,6,0,0,7,0,3203501,86.96,0.624316958,1,7,1
Arizona,2011,15887526,19,61,13,0,-1.46,8.14,9.5,57000,83,23,7,7,0,0,8,0,3232744,86,0.618669465,1,7,1
Arizona,2012,15291085,17,66,10,0,9.38,-1.46,8.33,57803,84,24,8,10,1,0,0,1,3272105.5,86.22,0.611227236,1,7,1
Arizona,2013,16205598,18,67,9,0,12.6,9.38,7.74,56037,85,0,6,11,1,0,1,0,3308062,85.95,0.60458359,1,7,1
Arizona,2014,54878978,21,66,11,0,11.9,12.6,6.78,56037,86,1,7,12,1,0,2,0,3353217.5,86.15,0.596442074,1,7,1
Arizona State,2010,23086859,21,61,17,1,8.42,0.71,10.35,73656,52,7,6,17,1,0,3,0,3203501,86.96,0.624316958,1,7,1
Arizona State,2011,21314268,21,56,17,1,5.1,8.42,9.5,73656,53,8,7,18,1,0,4,0,3232744,86,0.618669465,1,7,1
Arizona State,2012,24168463,24,52,14,1,9,5.1,8.33,73656,54,9,6,6,1,0,0,1,3272105.5,86.22,0.611227236,1,7,1
Arizona State,2013,23887913,23,58,13,0,17.5,9,7.74,73656,55,10,7,7,1,0,1,0,3308062,85.95,0.60458359,1,7,1
Arizona State,2014,33381648,22,60,15,0,13.26,17.5,6.78,67704,56,0,6,8,1,0,2,0,3353217.5,86.15,0.596442074,1,7,1
Arkansas,2010,33660483,21,66,21,1,0.769,0.615,8.19,72000,72,9,6,6,1,0,3,0,1460868.5,88.64,0,1,1,1
Arkansas,2011,44625696,17,75,21,1,0.846,0.769,8.29,72000,73,10,7,7,1,0,4,0,1469320,86.2,0,1,1,1
Arkansas,2012,47710153,8,86,17,1,0.333,0.846,7.58,72000,74,11,6,12,1,0,0,1,1474604,86.87,0,1,1,1
