Team,Year,ResponsiveRev,TicketRevFB,ContribsFB,ConcessFB,SponsFB,CampsFB
Akron,2010,1530027,1109005,380857,0,0,40165
Akron,2011,678775,621361,37797,0,0,19617
Akron,2012,1123376,1006864,95117,0,0,21395
Akron,2013,1174331,1029547,123639,0,0,21145
Akron,2014,2361192,1029547,1310500,0,0,21145
Alabama,2010,44610269,27683402,14323804,108063,2495000,0
Alabama,2011,48357063,29278884,18458891,72714,546574,0
Alabama,2012,50950527,30294245,18679937,70645,1302500,603200
Alabama,2013,56992434,36199233,18864861,46467,1297257,584616
Alabama,2014,72449359,34915615,32196689,58622,4547853,730580
Alabama Birmingham,2010,2221857,543467,1428996,0,249394,0
Alabama Birmingham,2011,1931929,503223,1213523,0,215183,0
Alabama Birmingham,2012,2030143,548599,1253944,0,227600,0
Alabama Birmingham,2013,1990014,605892,1136522,0,247600,0
Alabama Birmingham,2014,3935003,471801,3205602,0,257600,0
Arizona,2010,15642452,6991972,4023435,749595,3877450,0
Arizona,2011,15887526,7443145,4251726,938872,3253783,0
Arizona,2012,15291085,6322240,4578742,834207,3555896,0
Arizona,2013,16205598,7525849,4831772,899489,2948488,0
Arizona,2014,54878978,6696752,44264977,762986,3154263,0
Arizona State,2010,23086859,9348426,4334339,1251324,8101849,50921
Arizona State,2011,21314268,5950473,6184483,1217648,7922589,39075
Arizona State,2012,24168463,7102040,7191489,1632484,8133704,108746
Arizona State,2013,23887913,7370347,8604113,1399518,6364034,149901
Arizona State,2014,33381648,10391260,13499765,1709480,7603616,177527
Arkansas,2010,33660483,24532767,8562796,564920,0,0
Arkansas,2011,44625696,28479575,15443739,626132,75000,1250
Arkansas,2012,47710153,29635332,17370567,697754,5000,1500
Arkansas,2013,46515956,30719132,14936628,858946,0,1250
Arkansas,2014,47887689,25584626,21276161,985453,40000,1449
Arkansas State,2010,564667,517779,0,46888,0,0
Arkansas State,2011,523481,480770,0,42711,0,0
Arkansas State,2012,1016240,927435,22000,66805,0,0
Arkansas State,2013,1431031,1026024,287214,117793,0,0
Arkansas State,2014,2911019,1084748,1560468,265803,0,0
Auburn,2010,48363440,23885422,23504923,973095,0,0
Auburn,2011,56115166,27598702,27126569,1389895,0,0
Auburn,2012,56241436.9,27936966,27051405,1253065.9,0,0
Auburn,2013,54223803,27225330,25900212,1098261,0,0
Auburn,2014,69263228,28233894,39409078,1619899,357,0
Ball State,2010,696543,417370,137132,58049,0,83992
Ball State,2011,493938,374003,52598,54071,0,13266
Ball State,2012,1646198,1277264,260597,61747,0,46590
Ball State,2014,1581788,775432,697601,68748,0,40007
Boise State,2010,10549847,6657518,60735,874112,2599376,358106
Boise State,2011,11663231,7009545,47575,870188,3324954,410969
Boise State,2012,12263449,7550296,117781,936505,3334809,324058
Boise State,2014,23819122,7470941,11050334,918339,4080208,299300
Bowling Green,2010,1183575,787155,99752,252805,0,43863
Bowling Green,2011,1256667,903644,137850,193733,0,21440
Bowling Green,2012,1415944,951823,132040,275177,0,56904
