Survey Year,Institution Name,Classification Name,Football Total Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,Appalachian State University,NCAA Division I-AA,516119,6056193,7037376
2003,Arizona State University at the Tempe Campus,NCAA Division I-A,17669149,11028434,34996041
2003,Arkansas State University-Main Campus,NCAA Division I-A,1565937,6808222,9098933
2003,Auburn University Main Campus,NCAA Division I-A,37173943,4242133,46829458
2003,Ball State University,NCAA Division I-A,926865,11516034,13320504
2003,Baylor University,NCAA Division I-A,6202948,13194899,28147375
2003,Boise State University,NCAA Division I-A,2824122,9754143,13862701
2003,Boston College,NCAA Division I-A,14252113,15394849,35663942
2003,Bowling Green State University-Main Campus,NCAA Division I-A,2271728,13261019,16870992
2003,Brigham Young University,NCAA Division I-A,10367905,4674407,26037978
2003,California State University-Fresno,NCAA Division I-A,8418701,10256191,27537763
2003,Central Michigan University,NCAA Division I-A,3282746,4919803,13347287
2003,Clemson University,NCAA Division I-A,24295351,7431720,40835150
2003,Colorado State University,NCAA Division I-A,4684039,10997874,18024981
2003,Duke University,NCAA Division I-A,8419473,19117403,38988933
2003,East Carolina University,NCAA Division I-A,5891651,10616173,18348402
2003,Eastern Michigan University,NCAA Division I-A,2472022,3570870,12469405
2003,Elon University,NCAA Division I-AA,285104,5939059,6576475
2003,Florida Atlantic University,NCAA Division I-A,589883,9073669,9872196
2003,Florida International University,NCAA Division I-A,4720141,637796,10731257
2003,Florida State University,NCAA Division I-A,18399013,9177194,36009213
2003,Georgia Institute of Technology-Main Campus,NCAA Division I-A,13071882,15997658,39674362
2003,Georgia Southern University,NCAA Division I-AA,821247,6430936,8257783
2003,Georgia State University,NCAA Division I-AAA,,5406484,5603371
2003,Indiana University-Bloomington,NCAA Division I-A,13566505,11399819,36397501
2003,Iowa State University,NCAA Division I-A,10660310,9539205,27074913
2003,Kansas State University,NCAA Division I-A,20529001,15541524,40731865
2003,Kent State University-Kent Campus,NCAA Division I-A,866242,9807452,11309300
