Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Air Force,52480,52480,52480,52480,52480,46692,46692,52480,46692,46692,46692,46692,46692,"46,692","46,692","46,692","46,692"
Akron,31000,31000,31000,31000,31000,31000,31000,35202,35202,30000,30000,27881,30000,"30,000","30,000","30,000","30,000"
Alabama,83818,83818,83818,83818,83818,92138,92138,92138,92138,92138,92138,101821,92138,"101,821","101,821","101,821","101,821"
Appalachian St.,,,,,,,,,,,,,,,"24,050","23,150","23,150"
Arizona,56002,56002,56002,56002,56002,56002,56002,57803,57803,57803,57803,57000,57803,"56,037","56,037","56,029","56,029"
Arizona St.,73656,73656,73656,73656,73656,73656,73656,71706,71706,73656,73656,73656,73656,"73,656","67,704","64,248","64,248"
Arkansas,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,"72,000","72,000","72,000","72,000"
Arkansas St.,30406,30406,30406,30406,30406,30406,30406,33410,30406,30708,30708,30708,30708,"30,708","30,708","30,708","30,708"
Army,38115,38115,38115,38115,38115,38115,38115,39929,39929,39929,39929,38000,39929,"38,000","38,000","38,000","38,000"
Auburn,87451,87451,87451,87451,87451,87451,87451,87451,87451,87451,87451,87451,87451,"87,451","87,451","87,451","87,451"
Ball St.,22500,22500,22500,22500,22500,22500,22500,22500,22500,22500,22500,29250,22500,"22,500","22,500","22,500","22,500"
Baylor,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,"50,000","50,000","45,140","45,140"
Boise St.,30000,30000,30000,30000,30000,30000,30000,30000,32000,32000,32000,33500,32000,"36,387","36,387","36,387","36,387"
Boston College,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,"44,500","44,500","44,500","44,500"
Bowling Green,28599,28599,28599,28599,28599,23724,23724,30599,24000,24000,24000,24000,24000,"24,000","24,000","24,000","24,000"
Buffalo,29013,29013,29013,29013,29013,29013,29013,64045,29013,29013,29013,29013,29013,"29,013","29,013","29,013","29,013"
