,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than 9th Grade","90% Margin of Error (+/-), Population Less than 9th Grade","Population Estimate, 9th to 12th Grade (No Diploma)","90% Margin of Error (+/-), Population 9th to 12th Grade (No Diploma)","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
Alabama,85.2,0.8,2146392,21546,2519288,8576,102359,5378,270537,9027,753606,12661,588997,11777,209930,7444,379422,9753,214437,7391
Alaska,93.3,1.9,371717,8501,398495,3726,7276,1276,19502,2010,113520,4750,121037,5038,31380,2805,68837,3679,36943,2962
Arizona,86,0.9,2829071,29971,3288070,6303,184668,8200,274331,10518,771483,16416,881651,17521,294538,11225,581397,14954,300002,9988
Arkansas,86.2,1,1306368,16480,1514802,7536,72849,4800,135585,5919,528075,10219,351411,9389,100128,4931,217035,7325,109719,5723
California,82,0.3,16440226,61422,20045819,10437,1859961,23236,1745632,22533,4130374,34359,4511756,33651,1588179,20639,4010467,32190,2199450,23008
Colorado,91,0.8,2558661,23074,2811813,6831,98201,5586,154951,6924,591001,11704,646551,12358,253298,8844,693924,12840,373887,9018
Connecticut,91.3,0.9,1761934,17930,1929089,3635,61528,4264,105627,5631,501086,10055,365697,8997,154754,6037,427696,9246,312701,8034
Delaware,88.9,1.8,424428,8702,477208,2092,18742,2260,34038,2991,147033,5338,97986,4440,35859,3124,88415,4172,55135,3367
Florida,87.7,0.5,8692592,53526,9908186,14098,428854,13952,786740,17619,2904408,31791,2126333,27585,1003938,19383,1753121,24908,904792,18727
Georgia,86.2,0.6,4512168,35472,5233066,15245,243103,9717,477795,13801,1484632,21268,1124465,18406,378333,12118,998793,18881,525945,13653
Hawaii,93.3,1.4,686519,10981,736043,3059,17029,2075,32495,2881,197308,6005,183379,6397,84063,4388,150335,5443,71434,3624
Idaho,90,1.5,714796,12908,794174,4753,31539,3098,47839,3761,206811,7228,218378,6740,78951,4883,149433,6380,61223,4247
Illinois,89.1,0.5,6127645,34112,6879099,8094,311391,8842,440063,10596,1750370,18561,1505483,19028,563984,11565,1463138,17491,844670,14226
Indiana,89,0.7,3026672,24144,3398967,7180,113176,5454,259119,8548,1131205,14050,746283,13328,305782,8988,561959,10826,281443,7969
Iowa,92.7,0.9,1454205,14814,1569011,5139,39396,2872,75410,3678,456336,7921,352369,8008,195549,6213,313560,7590,136391,5173
Kansas,91.1,1,1339135,15101,1470135,5327,50419,3235,80581,4437,371330,8224,369861,8051,123872,5138,316216,7529,157856,5549
Kentucky,86.8,0.8,2020787,20156,2328389,6197,96449,4899,211153,7162,787968,12584,516394,11182,186589,6938,315337,8430,214499,7218
Louisiana,84.8,0.8,2035656,20576,2401441,8468,103514,5487,262271,7903,820676,12262,545834,11593,140554,6391,360792,9359,167800,6358
Maine,93.6,1.3,678481,9539,725229,2460,12085,1569,34663,2688,233665,5533,154534,4924,72415,3535,140902,4940,76965,3720
Maryland,90.9,0.7,2893117,23983,3183898,6618,104511,5725,186270,7124,785370,13243,661596,12967,217689,7693,696649,12149,531813,11530
Massachusetts,91.3,0.7,3269891,25200,3580139,4150,133051,5693,177197,7093,842538,14201,609837,12940,298467,8953,888302,13078,630747,10852
Michigan,90.9,0.5,4729419,26310,5200454,6561,125617,5433,345418,8659,1500532,15304,1312878,15647,493381,10287,899960,11507,522668,9102
Minnesota,93.7,0.6,2680193,18982,2859718,5702,63116,3692,116409,4927,687720,10085,660472,10039,337767,7599,679231,9891,315003,6988
Mississippi,83.4,1,1272865,17464,1525685,9165,72538,4801,180282,7221,443936,9793,367037,9995,144020,7050,208134,7632,109738,5675
Missouri,89.7,0.7,2829031,22998,3153950,7007,80462,4419,244457,7692,927865,13219,754665,12520,256747,8175,570335,11715,319419,8669
Montana,94,1.7,494045,9408,525817,3179,6227,1168,25545,2479,153079,5232,135033,5319,50472,3174,111263,4768,44198,3115
Nebraska,92,1,871021,10500,946315,3944,31338,2695,43956,3140,241306,5836,237122,5640,104668,4095,197864,5415,90061,4095
Nevada,84.2,1.3,1239016,19649,1471320,4467,89517,5741,142787,7712,420529,12225,377714,11184,111535,7024,225073,9320,104165,6607
New Hampshire,93.4,1.4,681269,10340,729617,3235,12515,1796,35833,3015,200883,5610,146399,5559,75869,3880,164908,5422,93210,4036
New Jersey,90.4,0.6,4337060,27672,4797835,5042,205082,7379,255693,8038,1304124,16227,870838,14063,326716,9236,1160667,15004,674715,11772
New Mexico,84.9,1.2,909185,13433,1071129,5465,60271,4058,101673,5026,284480,7947,261537,7882,89110,5037,161309,6156,112749,4907
New York,87.3,0.4,9194641,41870,10532784,7285,558308,13185,779835,15495,2706364,25340,1792905,20122,969790,14791,2168317,22041,1557265,17775
North Carolina,87.1,0.6,4460822,34948,5123401,13861,228207,9482,434372,12309,1339297,20281,1162281,18348,498121,13259,981908,17410,479215,12831
North Dakota,94.9,1.7,331968,6438,349689,2151,3611,762,14110,1746,87515,3314,88082,3638,53254,3212,76848,3343,26269,2325
Ohio,90.7,0.5,5532290,30202,6101402,7370,134413,5589,434699,10824,1997875,17449,1367933,15949,542758,11022,1032777,14974,590947,11041
Oklahoma,87.9,0.8,1715707,16326,1951806,5554,76753,3995,159346,5584,590231,9599,482105,9229,153067,5649,340530,8082,149774,5250
Oregon,90,0.9,1881966,18891,2091633,6417,81400,5013,128267,6142,498721,10189,567307,10657,186128,7312,404798,9368,225012,7162
Pennsylvania,91.4,0.4,6150670,30106,6731817,7439,158165,6382,422982,9854,2366755,18255,1187489,15055,589625,11398,1258688,14432,748113,11788
Rhode Island,87.9,1.7,491211,9703,558589,2282,27877,2700,39501,3419,137558,5692,112567,4898,52237,3527,116607,4834,72242,4296
South Carolina,86.6,0.9,2126330,24044,2455645,9628,94460,5485,234855,8304,747501,14496,539714,12351,231829,9075,404636,11096,202650,8069
South Dakota,92.9,1.9,387824,8201,417563,2939,10049,1513,19690,2155,123946,4675,99257,4041,48061,3227,83607,3817,32953,2999
Tennessee,87.5,0.7,2987856,26246,3415359,9276,133410,6286,294093,9151,1135036,15435,754843,13642,234125,8452,568335,12949,295517,8793
Texas,82.5,0.4,11033040,55158,13366566,16348,1092143,18627,1241383,20715,3329672,31415,3093545,30164,949585,18775,2494952,30023,1165286,20149
Utah,90.6,1.1,1223869,15085,1350344,5130,43089,3713,83386,4906,304118,7785,375077,9081,134307,5709,281744,7448,128623,5159
Vermont,93.7,1.7,319679,6201,341011,1797,4463,805,16869,1561,99533,3372,62506,3118,30945,2164,78938,3315,47757,2677
Virginia,90.2,0.6,3975243,29248,4408509,11596,148318,7461,284948,8961,1080973,16787,912363,15406,341004,10418,972964,14840,667939,12566
Washington,91,0.7,3385712,26008,3722183,7949,139562,6496,196909,7566,848605,13823,925860,14626,396194,10605,782846,13778,432207,10073
West Virginia,87.7,1.2,870373,12190,992881,4234,35094,3043,87414,4609,409110,7696,185297,6204,73760,3824,130177,5484,72029,3777
Wisconsin,92.3,0.6,2806107,19921,3039159,6419,68616,3736,164436,5698,919906,11703,684008,10893,336583,7847,583233,9755,282377,7592
Wyoming,92.9,2.2,282131,7120,303579,2853,3880,1178,17568,2176,88884,4193,83474,3964,32491,2757,52262,3331,25020,2208
Nation,87.7,0.1,144810982,186415,165086644,56652,7893452,50548,12382210,64650,44544848,103449,36332226,97649,14172352,63302,31857975,94756,17903581,69076
