Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusettes,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1976,6.766666667,7.516666667,9.683333333,6.975,9.108333333,5.808333333,9.275,8.816666667,9.108333333,8.158333333,9.391666667,5.575,6.575,6.016666667,3.983333333,4.208333333,5.383333333,6.716666667,8.675,6.65,9.566666667,9.4,5.808333333,6.508333333,6.233333333,5.941666667,3.191666667,8.766666667,6.508333333,10.425,8.891666667,10.20833333,6.216666667,3.691666667,7.766666667,5.683333333,9.308333333,7.975,8.208333333,7.175,3.216666667,6.05,5.783333333,5.566666667,8.325,5.825,8.875,7.325,5.51666667,3.966666667
1977,7.316666667,9.866666667,8.216666667,6.45,8.333333333,6.366666667,6.991666667,8.458333333,8.175,6.908333333,7.825,5.766666667,6.233333333,5.783333333,3.883333333,3.916666667,4.866666667,7.066666667,8.241666667,6.25,7.775,8.21666667,5.258333333,7.316666667,6.05,6.3,3.458333333,6.725,5.433333333,9.358333333,7.608333333,9.125,5.916666667,4.533333333,6.516666667,4.95,7.433333333,7.666666667,8.025,6.841666667,3.291666667,6.233333333,5.325,5.125,6.983333333,5.475,8.466666667,6.88333333,5.11666667,3.383333333
1978,6.316666667,10.61666667,6.033333333,6.191666667,7.158333333,5.516666667,5.225,7.408333333,6.708333333,5.733333333,7.108333333,5.458333333,5.958333333,5.583333333,3.85,3.116666667,5.108333333,6.791666667,6.416666667,5.525,6.216666667,6.95833333,3.866666667,6.925,4.883333333,5.733333333,3.116666667,4.466666667,3.816666667,7.266666667,5.941666667,7.758333333,4.475,4.233333333,5.466666667,3.575,6.075,6.925,6.566666667,5.741666667,3.1,5.825,4.775,3.791666667,5.6,5.291666667,6.833333333,6.175,4.96666667,3.008333333
1979,7.175,9.275,5.091666667,6.208333333,6.241666667,4.741666667,5.15,7.2,5.95,5.125,6.083333333,5.808333333,5.541666667,6.483333333,4.216666667,3.233333333,5.541666667,6.6,6.791666667,5.775,5.491666667,7.80833333,4.241666667,5.766666667,4.841666667,5.175,3.05,4.941666667,3.2,6.925,6.375,7.175,4.766666667,4.016666667,5.833333333,3.366666667,6.683333333,6.866666667,6.391666667,5.016666667,3.35,5.858333333,4.358333333,4.333333333,5.141666667,4.725,6.675,6.91666667,4.59166667,2.758333333
1980,8.883333333,9.65,6.65,7.558333333,6.85,5.808333333,5.808333333,7.608333333,6.091666667,6.35,5.058333333,7.525,8.166666667,9.675,6.041666667,4.433333333,7.941666667,6.85,7.625,6.575,5.65,12.35,5.775,7.425,7.225,6.116666667,3.933333333,6.183333333,4.55,7.216666667,7.575,7.483333333,6.416666667,4.941666667,8.4,4.4,8.483333333,8.041666667,7.216666667,6.766666667,4.791666667,7.458333333,5.141666667,6.2,6.183333333,5.175,8.066666667,9.46666667,7.23333333,3.866666667
1981,10.53333333,9.383333333,6.225,8.758333333,7.383333333,5.733333333,6.166666667,7.85,6.65,6.366666667,5.425,7.775,8.533333333,9.866666667,6.575,4.308333333,8.591666667,8.383333333,7.35,7.258333333,6.466666667,12.3916667,5.766666667,8.533333333,7.641666667,6.833333333,4.258333333,7.175,5.166666667,7.466666667,7.3,7.583333333,6.475,4.825,9.408333333,3.633333333,9.758333333,8.383333333,7.775,8.091666667,4.95,8.933333333,5.3,6.566666667,5.833333333,5.983333333,9.558333333,10.5666667,8.00833333,4.075
1982,14.08333333,9.958333333,10.09166667,9.9,9.958333333,7.333333333,6.866666667,8.366666667,8.441666667,7.766666667,6.316666667,9.908333333,11.35833333,11.96666667,8.508333333,6.266666667,10.81666667,10.275,8.375,8.283333333,7.708333333,15.3333333,7.916666667,11.05833333,9.216666667,8.516666667,5.666666667,9.883333333,6.775,8.708333333,9.241666667,8.458333333,9.208333333,5.558333333,12.69166667,6.008333333,11.55833333,11.14166667,9.7,11.11666667,5.475,11.71666667,6.9,8.191666667,6.983333333,7.45,11.93333333,13.9833333,10.5416667,6.233333333
1983,13.83333333,9.933333333,8.825,9.825,9.808333333,7.108333333,6.008333333,7.741666667,8.516666667,7.75,6.166666667,8.941666667,11.81666667,11.2,8.125,5.858333333,11.41666667,11.51666667,8.283333333,6.991666667,6.766666667,14.4,8.008333333,12.04166667,9.891666667,8.616666667,5.55,9.566666667,5.5,8.033333333,9.65,8.683333333,8.958333333,5.65,12.375,8.366666667,10.79166667,11.51666667,8.316666667,9.85,5.2,11.55,7.925,8.725,6.433333333,6.466666667,11.125,17.7916667,10.2166667,8.125
1984,11,9.85,5.175,8.733333333,7.758333333,5.441666667,4.666666667,6.308333333,6.383333333,6.116666667,5.675,7.325,9.033333333,8.541666667,6.983333333,4.925,9.291666667,10.06666667,6.233333333,5.358333333,4.775,11.2,6.283333333,10.53333333,7.166666667,7.608333333,4.508333333,7.883333333,4.3,6.166666667,7.825,7.175,6.75,5.283333333,9.466666667,7.091666667,9.416666667,9.083333333,5.508333333,6.916666667,4.391666667,8.566666667,6.116666667,6.475,5.066666667,5.083333333,9.283333333,14.7583333,7.4,6.233333333
1985,9.141666667,9.691666667,6.333333333,8.683333333,7.175,6.075,4.716666667,5.141666667,5.975,6.408333333,5.391666667,7.866666667,9.05,7.8,7.45,5.075,9.2,11.55,5.475,4.6,3.966666667,9.95,5.991666667,10.35833333,6.525,7.641666667,5.158333333,7.7,3.733333333,5.6,8.333333333,6.608333333,5.558333333,5.675,8.883333333,7.175,8.858333333,8.008333333,4.633333333,6.925,4.825,7.933333333,7.041666667,6.025,4.783333333,5.483333333,8.35,13.15,7.16666667,6.883333333
