team,year,srs,lagged_srs,stateunemp,stadium_cap,num_homegames,coach_experience,conf_coy,nat_coy,new_coach
alabama,2010,18.31,23.69,10.54166667,92138,7,14,1,1,0
alabama,2011,24.44,18.31,9.616666667,101821,7,15,1,1,0
alabama,2012,24.51,24.44,7.983333333,92138,7,16,1,1,0
alabama,2013,20.06,24.51,7.216666667,"101,821",7,17,1,1,0
alabama,2014,20.34,20.06,6.766666667,"101,821",7,18,1,1,0
arizona,2010,8.14,6.98,10.35,57803,6,6,0,0,0
arizona,2011,-1.46,8.14,9.5,57000,7,7,0,0,0
arizona,2012,9.38,-1.46,8.333333333,57803,8,10,1,0,1
arizona,2013,12.6,9.38,7.741666667,"56,037",6,11,1,0,0
arizona,2014,11.9,12.6,6.783333333,"56,037",7,12,1,0,0
arizonastate,2010,8.42,0.71,10.35,73656,6,17,1,0,0
arizonastate,2011,5.1,8.42,9.5,73656,7,18,1,0,0
arizonastate,2012,9,5.1,8.333333333,73656,6,6,1,0,1
arizonastate,2013,17.5,9,7.741666667,"73,656",7,7,1,0,0
arizonastate,2014,13.26,17.5,6.783333333,"67,704",6,8,1,0,0
arkansas,2010,0.769,0.615,8.191666667,72000,6,6,1,0,0
arkansas,2011,0.846,0.769,8.291666667,72000,7,7,1,0,0
arkansas,2012,0.333,0.846,7.575,72000,6,12,1,0,1
arkansas,2013,0.25,0.333,7.216666667,"72,000",7,7,1,0,1
arkansas,2014,0.538,0.25,6.025,"72,000",6,8,1,0,0
arkansasstate,2010,-7.45,-9.63,8.191666667,30708,5,8,1,0,0
arkansasstate,2011,1.18,-7.45,8.291666667,30708,6,0,1,0,1
arkansasstate,2012,4.94,1.18,7.575,30708,6,0,1,1,1
arkansasstate,2013,-1.86,4.94,7.216666667,"30,708",6,0,0,0,1
arkansasstate,2014,-3.96,-1.86,6.025,"30,708",6,0,0,0,1
auburn,2010,20.66,10.26,10.54166667,87451,8,3,1,0,0
auburn,2011,3.8,20.66,9.616666667,87451,7,4,1,0,0
auburn,2012,-0.92,3.8,7.983333333,87451,7,5,1,0,0
auburn,2013,18.8,-0.92,7.216666667,"87,451",8,1,1,1,1
auburn,2014,14.99,18.8,6.766666667,"87,451",7,2,1,1,0
boisestate,2010,18.69,13.5,8.966666667,32000,6,4,1,1,0
boisestate,2011,16.75,18.69,8.316666667,33500,6,5,1,1,0
boisestate,2012,7.85,16.75,7.2,32000,6,6,1,1,0
boisestate,2013,3.88,7.85,6.116666667,"36,387",6,7,1,1,0
boisestate,2014,10.58,3.88,4.866666667,"36,387",7,1,0,0,1
cal,2010,5.35,4.28,12.225,71799,7,8,1,0,0
cal,2011,4.57,5.35,11.70833333,45000,5,9,1,0,0
