id, team
1,Air Force
2,Akron
3,Alabama
4,Appalachian St.
5,Arizona
6,Arizona St.
7,Arkansas
8,Arkansas St.
9,Army
10,Auburn
11,Ball St.
12,Baylor
13,Boise St.
14,Boston College
15,Bowling Green
16,Buffalo
17,BYU
18,California
19,Central Mich.
20,Charlotte
21,Cincinnati
22,Clemson
23,Colorado
24,Colorado St.
25,Duke
26,East Carolina
27,Eastern Mich.
28,FIU
29,Fla. Atlantic
30,Florida
31,Florida St.
32,Fresno St.
33,Georgia Southern
34,Georgia
35,Georgia St.
36,Georgia Tech
37,Hawaii
38,Houston
39,Idaho
40,Illinois
41,Indiana
42,Iowa
43,Iowa St.
44,Kansas
45,Kansas St.
46,Kent St.
47,Kentucky
48,La.-Lafayette
49,La.-Monroe
50,Louisiana Tech
51,Louisville
52,LSU
53,Marshall
54,Maryland
55,Massachusetts
56,Memphis
57,Miami (FL)
58,Miami (OH)
59,Michigan
60,Michigan St.
61,Middle Tenn.
62,Minnesota
63,Mississippi St.
64,Missouri
65,Navy
66,Nebraska
67,Nevada
68,New Mexico
69,New Mexico St.
70,North Carolina
71,North Carolina St.
72,North Texas
73,Northern Ill.
74,Northwestern
75,Notre Dame
76,Ohio
77,Ohio St.
78,Oklahoma
79,Oklahoma St.
80,Old Dominion
81,Ole Miss
82,Oregon
83,Oregon St.
84,Penn St.
85,Pittsburgh
86,Purdue
87,Rice
88,Rutgers
89,San Diego St.
90,San Jose St.
91,SMU
92,South Ala.
93,South Carolina
94,South Fla.
95,Southern California
96,Southern Miss.
97,Stanford
98,Syracuse
99,TCU
100,Temple
101,Tennessee
102,Texas
103,Texas A&M
104,Texas St.
105,Texas Tech
106,Toledo
107,Troy
108,Tulane
109,Tulsa
110,UAB
111,UCF
112,UCLA
113,UConn
114,UNLV
115,Utah
116,Utah St.
117,UTEP
118,UTSA
119,Vanderbilt
120,Virginia
121,Virginia Tech
122,Wake Forest
123,Washington
124,Washington St.
125,West Virginia
126,Western Ky.
127,Western Mich.
128,Wisconsin
129,Wyoming
