state,year,num programs,statepop,big4_pro_teams,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs
alabama,2010,4,"4,785,579",0,1196394.75,86.9,0,1,0
alabama,2011,4,"4,798,649",0,1199662.25,85.2,0,1,0
alabama,2012,5,"4,813,946",0,962789.2,86.33,0,1,0
alabama,2013,5,"4,827,660",0,965532,86.59,0,1,0
alabama,2014,5,"4,840,037",0,968007.4,86.86,0,1,0
arizona,2010,2,"6,407,002",4,3203501,86.96,0.624316958,1,7
arizona,2011,2,"6,465,488",4,3232744,86,0.618669465,1,7
arizona,2012,2,"6,544,211",4,3272105.5,86.22,0.611227236,1,7
arizona,2013,2,"6,616,124",4,3308062,85.95,0.60458359,1,7
arizona,2014,2,"6,706,435",4,3353217.5,86.15,0.596442074,1,7
arkansas,2010,2,"2,921,737",0,1460868.5,88.64,0,1,1
arkansas,2011,2,"2,938,640",0,1469320,86.2,0,1,1
arkansas,2012,2,"2,949,208",0,1474604,86.87,0,1,1
arkansas,2013,2,"2,956,780",0,1478390,86.63,0,1,1
arkansas,2014,2,"2,964,800",0,1482400,87.6,0,1,1
california,2010,8,"37,327,690",16,4665961.25,87.06,0.428636222,1,0
california,2011,8,"37,672,654",16,4709081.75,82,0.424711251,1,0
california,2012,8,"38,019,006",16,4752375.75,82.27,0.420842144,1,0
california,2013,8,"38,347,383",16,4793422.875,82.41,0.417238381,1,0
california,2014,8,"38,701,278",16,4837659.75,82.85,0.41342304,1,0
colorado,2010,3,"5,048,029",4,1682676.333,92.11,0.792388475,0,0
colorado,2011,3,"5,116,411",4,1705470.333,91,0.781798022,0,0
colorado,2012,3,"5,186,330",4,1728776.667,91.06,0.771258289,0,0
colorado,2013,3,"5,262,556",4,1754185.333,90.96,0.760086924,0,0
colorado,2014,3,"5,342,311",4,1780770.333,90.95,0.748739637,0,0
connecticut,2010,1,"3,580,171",0,3580171,92.21,0,1,0
connecticut,2011,1,"3,591,927",0,3591927,91.3,0,1,0
connecticut,2012,1,"3,597,705",0,3597705,92.02,0,1,0
connecticut,2013,1,"3,602,470",0,3602470,91.67,0,1,0
connecticut,2014,1,"3,600,188",0,3600188,91.75,0,1,0
florida,2010,7,"18,846,461",9,2692351.571,89.69,0.477543237,1,1
florida,2011,7,"19,097,369",9,2728195.571,87.7,0.471269105,1,1
florida,2012,7,"19,341,327",9,2763046.714,88.25,0.465324846,1,1
florida,2013,7,"19,584,927",9,2797846.714,88.34,0.459537072,1,1
florida,2014,7,"19,897,747",9,2842535.286,88.67,0.452312516,1,1
georgia,2010,2,"9,712,696",3,4856348,87.43,0.308874076,1,1
georgia,2011,2,"9,810,595",3,4905297.5,86.2,0.305791851,1,1
georgia,2012,2,"9,911,171",3,4955585.5,86.82,0.302688754,1,1
georgia,2013,3,"9,981,773",3,3327257.667,87.11,0.300547808,1,1
georgia,2014,4,"10,083,850",3,2520962.5,87.15,0.297505417,1,1
hawaii,2010,1,"1,363,817",0,1363817,95.32,0,1,0
hawaii,2011,1,"1,378,323",0,1378323,93.3,0,1,0
hawaii,2012,1,"1,392,772",0,1392772,92.99,0,1,0
hawaii,2013,1,"1,408,038",0,1408038,93.5,0,1,0
hawaii,2014,1,"1,417,710",0,1417710,93.99,0,1,0
idaho,2010,1,"1,570,912",0,1570912,90.33,0,0,0
idaho,2011,1,"1,583,180",0,1583180,90,0,0,0
idaho,2012,1,"1,594,673",0,1594673,90.9,0,0,0
idaho,2013,1,"1,610,187",0,1610187,90.26,0,0,0
idaho,2014,1,"1,630,391",0,1630391,90.51,0,0,0
illinois,2010,3,"12,841,196",5,4280398.667,91.42,0.389371831,1,1
illinois,2011,3,"12,862,298",5,4287432.667,89.1,0.388733024,1,1
illinois,2012,3,"12,878,494",5,4292831.333,89.45,0.388244153,1,1
illinois,2013,3,"12,890,403",5,4296801,89.37,0.387885468,1,1
illinois,2014,3,"12,882,438",5,4294146,89.73,0.388125291,1,1
indiana,2010,4,"6,490,029",2,1622507.25,88.59,0.308165033,0,0
indiana,2011,4,"6,515,358",2,1628839.5,89,0.306967015,0,0
indiana,2012,4,"6,535,665",2,1633916.25,89.24,0.306013237,0,0
indiana,2013,4,"6,567,484",2,1641871,89.21,0.304530624,0,0
indiana,2014,4,"6,593,182",2,1648295.5,89.73,0.303343666,0,0
iowa,2010,2,"3,050,223",0,1525111.5,93.18,0,0,3
iowa,2011,2,"3,063,690",0,1531845,92.7,0,0,3
iowa,2012,2,"3,074,386",0,1537193,93.22,0,0,3
iowa,2013,2,"3,089,876",0,1544938,92.97,0,0,3
iowa,2014,2,"3,105,563",0,1552781.5,93.43,0,0,3
kansas,2010,2,"2,858,403",0,1429201.5,90,0,0,8
kansas,2011,2,"2,868,756",0,1434378,91.1,0,0,8
kansas,2012,2,"2,885,316",0,1442658,91.05,0,0,8
kansas,2013,2,"2,892,900",0,1446450,90.89,0,0,8
kansas,2014,2,"2,899,553",0,1449776.5,91.05,0,0,8
kentucky,2010,2,"4,347,948",0,2173974,90.51,0,1,0
kentucky,2011,2,"4,368,505",0,2184252.5,86.8,0,1,0
kentucky,2012,2,"4,383,673",0,2191836.5,87.33,0,1,0
kentucky,2013,2,"4,399,121",0,2199560.5,87.11,0,1,0
kentucky,2014,2,"4,410,415",0,2205207.5,87.31,0,1,0
louisiana,2010,5,"4,544,871",2,908974.2,87,0.440056494,1,0
louisiana,2011,5,"4,574,388",2,914877.6,84.8,0.437216957,1,0
louisiana,2012,5,"4,602,681",2,920536.2,85.22,0.434529354,1,0
louisiana,2013,5,"4,626,795",2,925359,84.92,0.432264667,1,0
louisiana,2014,5,"4,648,797",2,929759.4,85.18,0.430218829,1,0
maryland,2010,2,"5,788,099",6,2894049.5,90.57,1.036609775,0,0
maryland,2011,2,"5,843,115",6,2921557.5,90.9,1.026849549,0,0
maryland,2012,2,"5,891,680",6,2945840,90.81,1.018385248,0,0
maryland,2013,2,"5,932,654",6,2966327,90.67,1.011351749,0,0
maryland,2014,2,"5,970,245",6,2985122.5,90.77,1.004983883,0,0
massachusetts,2010,1,"6,564,943",4,6564943,93.56,0.609296989,0,0
massachusetts,2011,1,"6,612,178",4,6612178,91.3,0.604944392,0,0
massachusetts,2012,2,"6,659,627",4,3329813.5,91.8,0.60063424,0,0
massachusetts,2013,2,"6,711,138",4,3355569,91.94,0.596024102,0,0
massachusetts,2014,2,"6,757,925",4,3378962.5,91.55,0.591897661,0,0
michigan,2010,5,"9,876,731",4,1975346.2,91.2,0.4049923,0,0
michigan,2011,5,"9,876,199",4,1975239.8,90.9,0.405014115,0,0
michigan,2012,5,"9,886,610",4,1977322,91.04,0.404587619,0,0
michigan,2013,5,"9,899,219",4,1979843.8,91.08,0.404072281,0,0
michigan,2014,5,"9,914,675",4,1982935,91.41,0.403442372,0,0
minnesota,2010,1,"5,310,711",4,5310711,93.38,0.753194817,0,10
minnesota,2011,1,"5,345,967",4,5345967,93.7,0.748227589,0,10
minnesota,2012,1,"5,377,695",4,5377695,94.04,0.743813102,0,10
minnesota,2013,1,"5,416,074",4,5416074,93.76,0.738542346,0,10
minnesota,2014,1,"5,452,649",4,5452649,93.87,0.73358839,0,10
mississippi,2010,4,"2,970,437",0,742609.25,87.46,0,1,14
mississippi,2011,4,"2,977,452",0,744363,83.4,0,1,14
mississippi,2012,4,"2,982,963",0,745740.75,85.03,0,1,14
mississippi,2013,4,"2,987,721",0,746930.25,84.95,0,1,14
mississippi,2014,4,"2,988,578",0,747144.5,85.11,0,1,14
missouri,2010,1,"5,995,681",4,5995681,91.19,0.667146901,0,0
missouri,2011,1,"6,010,280",4,6010280,89.7,0.665526398,0,0
missouri,2012,1,"6,023,267",4,6023267,89.94,0.664091431,0,0
missouri,2013,1,"6,041,142",4,6041142,90.69,0.662126465,0,0
missouri,2014,1,"6,058,014",4,6058014,90.46,0.660282396,0,0
nebraska,2010,1,"1,829,956",0,1829956,92.02,0,0,0
nebraska,2011,1,"1,841,641",0,1841641,92,0,0,0
nebraska,2012,1,"1,854,862",0,1854862,91.35,0,0,0
nebraska,2013,1,"1,867,414",0,1867414,90.82,0,0,0
nebraska,2014,1,"1,880,920",0,1880920,90.95,0,0,0
nevada,2010,2,"2,702,797",0,1351398.5,87.26,0,0,0
nevada,2011,2,"2,718,170",0,1359085,84.2,0,0,0
nevada,2012,2,"2,752,410",0,1376205,85.21,0,0,0
nevada,2013,2,"2,786,547",0,1393273.5,85.56,0,0,0
nevada,2014,2,"2,831,730",0,1415865,85.09,0,0,0
new jersey,2010,1,"8,803,708",3,8803708,92.03,0.340765505,0,0
new jersey,2011,1,"8,844,694",3,8844694,90.4,0.339186409,0,0
new jersey,2012,1,"8,882,095",3,8882095,90.52,0.337758153,0,0
new jersey,2013,1,"8,913,735",3,8913735,90.68,0.336559254,0,0
new jersey,2014,1,"8,943,010",3,8943010,91.02,0.335457525,0,0
new mexico,2010,2,"2,064,607",0,1032303.5,84.88,0,0,1
new mexico,2011,2,"2,077,744",0,1038872,84.9,0,0,1
new mexico,2012,2,"2,083,590",0,1041795,86.01,0,0,1
new mexico,2013,2,"2,085,161",0,1042580.5,85.86,0,0,1
new mexico,2014,2,"2,083,207",0,1041603.5,85.3,0,0,1
new york,2010,3,"19,405,185",8,6468395,89.81,0.41226095,0,6
new york,2011,3,"19,526,372",8,6508790.667,87.3,0.409702325,0,6
new york,2012,3,"19,625,409",8,6541803,87.38,0.407634817,0,6
new york,2013,3,"19,712,514",8,6570838,87.64,0.405833574,0,6
new york,2014,3,"19,773,580",8,6591193.333,87.77,0.404580253,0,6
north carolina,2010,5,"9,574,247",3,1914849.4,88.06,0.313340569,1,1
north carolina,2011,5,"9,662,940",3,1932588,87.1,0.310464517,1,1
north carolina,2012,5,"9,755,299",3,1951059.8,87.26,0.307525172,1,1
north carolina,2013,5,"9,849,812",3,1969962.4,87.46,0.304574341,1,1
north carolina,2014,6,"9,941,160",3,1656860,87.99,0.301775648,1,1
ohio,2010,8,"11,539,282",6,1442410.25,91.98,0.519963027,0,1
ohio,2011,8,"11,543,332",6,1442916.5,90.7,0.519780597,0,1
ohio,2012,8,"11,546,969",6,1443371.125,91.01,0.51961688,0,1
ohio,2013,8,"11,567,845",6,1445980.625,90.96,0.518679149,0,1
ohio,2014,8,"11,593,741",6,1449217.625,91.02,0.517520617,0,1
oklahoma,2010,3,"3,759,529",1,1253176.333,88.86,0.265990766,1,1
oklahoma,2011,3,"3,785,232",1,1261744,87.9,0.2641846,1,1
oklahoma,2012,3,"3,815,298",1,1271766,88.18,0.262102724,1,1
oklahoma,2013,3,"3,849,840",1,1283280,87.79,0.259751055,1,1
oklahoma,2014,3,"3,875,008",1,1291669.333,88.17,0.258063983,1,1
oregon,2010,2,"3,837,073",1,1918536.5,91.04,0.260615318,0,0
oregon,2011,2,"3,865,845",1,1932922.5,90,0.258675658,0,0
oregon,2012,2,"3,893,920",1,1946960,90.32,0.256810618,0,0
oregon,2013,2,"3,919,664",1,1959832,90.04,0.255123909,0,0
oregon,2014,2,"3,960,673",1,1980336.5,90.05,0.252482343,0,0
pennsylvania,2010,3,"12,711,063",7,4237021,92.09,0.550701385,0,1
pennsylvania,2011,3,"12,742,811",7,4247603.667,91.4,0.549329343,0,1
pennsylvania,2012,3,"12,768,034",7,4256011.333,91.6,0.548244154,0,1
pennsylvania,2013,3,"12,778,450",7,4259483.333,91.43,0.547797268,0,1
pennsylvania,2014,3,"12,790,341",7,4263447,91.41,0.547287989,0,1
south carolina,2010,2,"4,635,834",0,2317917,88.95,0,1,0
south carolina,2011,2,"4,672,744",0,2336372,86.6,0,1,0
south carolina,2012,2,"4,719,009",0,2359504.5,87.31,0,1,0
south carolina,2013,2,"4,765,862",0,2382931,87.55,0,1,0
south carolina,2014,2,"4,824,758",0,2412379,87.8,0,1,0
tennessee,2010,4,"6,355,882",3,1588970.5,89.79,0.472003728,1,0
tennessee,2011,4,"6,396,281",3,1599070.25,87.5,0.469022546,1,0
tennessee,2012,4,"6,450,632",3,1612658,87.99,0.465070709,1,0
tennessee,2013,4,"6,490,795",3,1622698.75,88,0.462192998,1,0
tennessee,2014,4,"6,540,007",3,1635001.75,88.3,0.458715105,1,0
texas,2010,9,"25,241,648",8,2804627.556,86.67,0.316936517,1,6
texas,2011,9,"25,644,424",8,2849380.444,82.5,0.311958654,1,6
texas,2012,11,"26,078,327",8,2370757,82.62,0.306768145,1,6
texas,2013,11,"26,479,279",8,2407207.182,83.13,0.30212303,1,6
texas,2014,11,"26,954,436",8,2450403.273,83.37,0.296797158,1,6
utah,2010,3,"2,775,260",1,925086.6667,92.28,0.3603266,0,1
utah,2011,3,"2,815,430",1,938476.6667,90.6,0.355185531,0,1
utah,2012,3,"2,854,222",1,951407.3333,91.22,0.350358171,0,1
utah,2013,3,"2,899,961",1,966653.6667,91.76,0.344832224,0,1
utah,2014,3,"2,938,671",1,979557,91.48,0.340289879,0,1
virginia,2010,2,"8,025,206",6,4012603,92.33,0.74764436,1,0
virginia,2011,2,"8,107,548",6,4053774,90.2,0.740051123,1,0
virginia,2012,2,"8,188,656",6,4094328,90.19,0.732720974,1,0
virginia,2013,2,"8,261,689",6,4130844.5,90.54,0.72624375,1,0
virginia,2014,3,"8,316,902",6,2772300.667,90.42,0.721422472,1,0
washington,2010,2,"6,741,386",2,3370693,91.24,0.296674897,0,0
washington,2011,2,"6,819,155",2,3409577.5,91,0.293291471,0,0
washington,2012,2,"6,890,899",2,3445449.5,91,0.290237892,0,0
washington,2013,2,"6,963,410",2,3481705,90.64,0.287215603,0,0
washington,2014,2,"7,046,931",2,3523465.5,90.87,0.283811492,0,0
west virginia,2010,2,"1,854,315",0,927157.5,90.66,0,0,0
west virginia,2011,2,"1,854,891",0,927445.5,87.7,0,0,0
west virginia,2012,2,"1,855,360",0,927680,87.87,0,0,0
west virginia,2013,2,"1,852,333",0,926166.5,87.45,0,0,0
west virginia,2014,2,"1,847,624",0,923812,88.49,0,0,0
wisconsin,2010,1,"5,690,403",3,5690403,93.3,0.527203434,0,0
wisconsin,2011,1,"5,705,812",3,5705812,92.3,0.525779679,0,0
