game_id,team,turnover_diff
2655,MIN,-1
2655,NO,1
2656,BUF,0
2656,MIA,0
2657,CHI,-1
2657,DET,1
2658,OAK,-1
2658,TEN,1
2659,CIN,-2
2659,NE,2
2660,CAR,0
2660,NYG,0
2661,ATL,0
2661,PIT,0
2662,CLE,-1
2662,TB,1
2663,DEN,-2
2663,JAC,2
2664,HOU,0
2664,IND,0
2665,SEA,1
2665,SF,-1
2666,GB,-1
2666,PHI,1
2667,ARI,-1
2667,STL,1
2668,DAL,-1
2668,WAS,1
2669,BAL,-2
2669,NYJ,2
2670,KC,1
2670,SD,-1
2671,ARI,-2
2671,ATL,2
2672,BAL,-4
2672,CIN,4
2673,CLE,0
2673,KC,0
2674,CHI,3
2674,DAL,-3
2675,DET,-2
2675,PHI,2
2676,BUF,-2
2676,GB,2
2677,PIT,6
2677,TEN,-6
2678,MIA,2
2678,MIN,-2
2679,CAR,-3
2679,TB,3
2680,OAK,-1
2680,STL,1
2681,DEN,3
2681,SEA,-3
2682,NE,-3
2682,NYJ,3
2683,JAC,-3
2683,SD,3
2684,HOU,-1
2684,WAS,1
2685,IND,2
2685,NYG,-2
2686,NO,3
2686,SF,-3
2687,DET,0
2687,MIN,0
2688,BUF,-1
2688,NE,1
2689,ATL,3
2689,NO,-3
2690,NYG,-3
2690,TEN,3
2691,KC,0
2691,SF,0
2692,PIT,0
2692,TB,0
2693,CAR,-2
2693,CIN,2
2694,BAL,0
2694,CLE,0
2695,DAL,3
2695,HOU,-3
2696,JAC,-1
2696,PHI,1
2697,STL,0
2697,WAS,0
2698,ARI,0
2698,OAK,0
2699,SD,-3
2699,SEA,3
2700,DEN,-1
2700,IND,1
2701,MIA,-1
2701,NYJ,1
2702,CHI,1
2702,GB,-1
2703,ATL,0
2703,SF,0
2704,BUF,-1
2704,NYJ,1
2705,CIN,-1
2705,CLE,1
2706,DET,1
2706,GB,-1
2707,DEN,1
2707,TEN,-1
2708,SEA,-1
2708,STL,1
2709,CAR,2
