game_id,team,average_starting_field_position,season
3456,BAL,23.2500,2013
3456,DEN,34.6875,2013
3457,BUF,23.1429,2013
3457,NE,31.0000,2013
3458,CHI,34.6364,2013
3458,CIN,20.9091,2013
3459,CLE,25.5000,2013
3459,MIA,28.7692,2013
3460,IND,18.7500,2013
3460,OAK,28.5000,2013
3461,JAC,18.8000,2013
3461,KC,33.7143,2013
3462,NYJ,24.7692,2013
3462,TB,29.0769,2013
3463,PIT,18.6364,2013
3463,TEN,40.1000,2013
3464,ATL,26.1818,2013
3464,NO,24.0833,2013
3465,CAR,20.5000,2013
3465,SEA,23.0000,2013
3466,DET,36.7143,2013
3466,MIN,21.7857,2013
3467,GB,19.9231,2013
3467,SF,33.0000,2013
3468,ARI,19.0909,2013
3468,STL,29.2727,2013
3469,DAL,34.0769,2013
3469,NYG,28.0000,2013
3470,PHI,38.9286,2013
3470,WAS,19.6923,2013
3471,HOU,27.0000,2013
3471,SD,27.9091,2013
3472,NE,37.8125,2013
3472,NYJ,21.6667,2013
3473,DAL,21.0833,2013
3473,KC,34.6364,2013
3474,ATL,22.6364,2013
3474,STL,16.4167,2013
3475,PHI,22.6364,2013
3475,SD,25.3636,2013
3476,HOU,31.6875,2013
3476,TEN,24.4286,2013
3477,IND,25.0000,2013
3477,MIA,24.8333,2013
3478,BUF,18.7500,2013
3478,CAR,34.0833,2013
3479,BAL,31.3846,2013
3479,CLE,24.8333,2013
3480,GB,26.2727,2013
3480,WAS,24.4545,2013
3481,CHI,37.0833,2013
3481,MIN,22.1111,2013
3482,NO,31.4167,2013
3482,TB,20.5455,2013
3483,ARI,36.0000,2013
3483,DET,14.6667,2013
3484,JAC,25.5455,2013
3484,OAK,30.7273,2013
3485,DEN,29.8571,2013
3485,NYG,24.5714,2013
3486,SEA,43.8462,2013
3486,SF,26.6364,2013
3487,CIN,22.7500,2013
3487,PIT,25.5833,2013
3488,KC,43.2143,2013
3488,PHI,20.4615,2013
3489,NE,30.9091,2013
3489,TB,21.4000,2013
3490,ARI,28.5455,2013
3490,NO,25.4167,2013
3491,SD,28.4000,2013
3491,TEN,18.3333,2013
3492,CIN,27.1538,2013
3492,GB,37.5833,2013
3493,BAL,17.5000,2013
3493,HOU,27.5455,2013
3494,CLE,29.9286,2013
3494,MIN,33.1250,2013
3495,CAR,34.2727,2013
3495,NYG,28.0833,2013
3496,DAL,36.4000,2013
3496,STL,21.6667,2013
3497,DET,20.8333,2013
3497,WAS,22.8333,2013
3498,ATL,29.5556,2013
3498,MIA,32.9091,2013
3499,JAC,30.7857,2013
3499,SEA,32.6429,2013
3500,IND,27.2727,2013
3500,SF,19.2727,2013
3501,BUF,30.6000,2013
3501,NYJ,22.2667,2013
3502,CHI,36.4167,2013
3502,PIT,22.1538,2013
3503,DEN,28.6364,2013
3503,OAK,24.9091,2013
3504,SF,28.7500,2013
3504,STL,28.8750,2013
3505,CHI,24.6667,2013
3505,DET,42.9286,2013
3506,IND,28.5455,2013
3506,JAC,23.0000,2013
3507,HOU,23.2143,2013
3507,SEA,26.4615,2013
3508,CIN,25.6000,2013
3508,CLE,30.9091,2013
3509,BAL,30.5294,2013
3509,BUF,33.3529,2013
3510,MIN,26.4167,2013
3510,PIT,23.5833,2013
3511,ARI,35.5714,2013
3511,TB,21.9286,2013
3512,KC,34.5000,2013
3512,NYG,22.2143,2013
3513,NYJ,18.6154,2013
3513,TEN,36.5385,2013
3514,DAL,23.1000,2013
3514,SD,25.2727,2013
3515,OAK,29.5000,2013
3515,WAS,25.0769,2013
3516,DEN,23.0000,2013
3516,PHI,20.4545,2013
3517,ATL,27.1818,2013
3517,NE,21.4545,2013
3518,MIA,20.6667,2013
3518,NO,38.0833,2013
3519,BUF,22.7143,2013
3519,CLE,32.9231,2013
3520,CIN,18.6923,2013
3520,NE,28.9167,2013
3521,BAL,26.3333,2013
3521,MIA,28.0000,2013
3522,IND,20.9000,2013
3522,SEA,31.8182,2013
3523,KC,29.3077,2013
3523,TEN,29.2857,2013
3524,JAC,26.7143,2013
3524,STL,29.5385,2013
3525,CHI,18.9091,2013
3525,NO,34.5000,2013
3526,DET,18.2000,2013
3526,GB,23.5000,2013
3527,NYG,21.6429,2013
3527,PHI,34.4000,2013
3528,ARI,37.4167,2013
3528,CAR,23.4167,2013
3529,DAL,25.5455,2013
3529,DEN,31.6364,2013
3530,HOU,20.8333,2013
3530,SF,39.3000,2013
3531,OAK,25.3636,2013
3531,SD,23.0000,2013
3532,ATL,25.4444,2013
3532,NYJ,39.1111,2013
3533,CHI,29.5556,2013
3533,NYG,17.6667,2013
