play_id,game_id,team,play_number_in_drive,down,distance,yardline,points_scored,drive_id,season
563117,3456,BAL,1,1,10,20,0,80885,2013
563118,3456,BAL,2,2,11,19,0,NULL,2013
563119,3456,BAL,3,3,8,22,0,NULL,2013
563121,3456,DEN,1,1,10,23,0,80886,2013
563122,3456,DEN,2,2,10,23,0,NULL,2013
563123,3456,DEN,3,3,9,24,0,NULL,2013
563124,3456,DEN,4,1,10,34,0,NULL,2013
563125,3456,DEN,5,2,10,34,0,NULL,2013
563126,3456,DEN,6,3,3,41,0,NULL,2013
563128,3456,BAL,1,1,10,20,0,80887,2013
563129,3456,BAL,2,1,10,34,0,NULL,2013
563130,3456,BAL,3,2,10,34,0,NULL,2013
563131,3456,BAL,4,3,6,38,0,NULL,2013
563132,3456,BAL,5,1,10,67,0,NULL,2013
563133,3456,BAL,6,2,3,74,0,NULL,2013
563134,3456,BAL,7,1,10,87,0,NULL,2013
563135,3456,BAL,8,2,10,87,0,NULL,2013
563136,3456,BAL,9,3,10,87,0,NULL,2013
563137,3456,BAL,10,1,2,98,7,NULL,2013
563140,3456,DEN,1,1,10,20,0,80888,2013
563141,3456,DEN,2,2,8,22,0,NULL,2013
563142,3456,DEN,3,3,2,28,0,NULL,2013
563143,3456,DEN,4,1,10,40,0,NULL,2013
563144,3456,DEN,5,1,10,55,0,NULL,2013
563145,3456,DEN,6,2,9,56,0,NULL,2013
563146,3456,DEN,7,3,4,61,0,NULL,2013
563148,3456,BAL,1,1,10,10,0,80889,2013
563149,3456,BAL,2,2,10,10,0,NULL,2013
563150,3456,BAL,3,3,1,19,0,NULL,2013
563151,3456,BAL,4,1,10,26,0,NULL,2013
563152,3456,BAL,5,2,11,25,0,NULL,2013
563153,3456,BAL,6,1,10,38,0,NULL,2013
563154,3456,BAL,7,2,10,38,0,NULL,2013
563156,3456,BAL,8,3,17,31,0,NULL,2013
563158,3456,DEN,1,1,10,29,0,80890,2013
563159,3456,DEN,2,2,7,32,0,NULL,2013
563161,3456,DEN,3,1,10,36,0,NULL,2013
563162,3456,DEN,4,2,10,36,0,NULL,2013
563163,3456,DEN,5,3,4,42,0,NULL,2013
563165,3456,BAL,1,1,10,15,0,80891,2013
563166,3456,BAL,2,2,9,16,0,NULL,2013
563167,3456,BAL,3,3,9,16,0,NULL,2013
563168,3456,DEN,1,1,10,76,7,80892,2013
563171,3456,BAL,1,1,10,20,0,80893,2013
563172,3456,BAL,2,2,12,18,0,NULL,2013
563173,3456,BAL,3,3,12,18,0,NULL,2013
563174,3456,BAL,4,1,10,49,0,NULL,2013
563177,3456,BAL,5,1,15,50,0,NULL,2013
563178,3456,BAL,6,2,5,60,0,NULL,2013
563179,3456,BAL,7,3,5,60,0,NULL,2013
563181,3456,BAL,1,1,1,99,7,80894,2013
563184,3456,DEN,1,1,10,20,0,80895,2013
563185,3456,DEN,2,1,10,33,0,NULL,2013
563186,3456,DEN,3,2,8,35,0,NULL,2013
563187,3456,DEN,4,3,2,41,0,NULL,2013
563189,3456,DEN,5,1,20,33,0,NULL,2013
563190,3456,DEN,6,1,10,77,7,NULL,2013
563193,3456,BAL,1,1,10,20,0,80896,2013
563194,3456,BAL,2,2,19,11,0,NULL,2013
563195,3456,BAL,3,3,14,16,0,NULL,2013
563197,3456,DEN,1,1,10,51,0,80897,2013
563199,3456,DEN,2,2,15,46,0,NULL,2013
