play_id,game_id,team,play_number_in_drive,down,distance,yardline,points_scored,drive_id,season
652373,3990,PIT,1,1,10,20,0,93413,2015
652374,3990,PIT,2,1,10,38,0,NULL,2015
652375,3990,PIT,3,2,1,47,0,NULL,2015
652376,3990,PIT,4,1,10,51,0,NULL,2015
652377,3990,PIT,5,1,10,65,0,NULL,2015
652378,3990,PIT,6,1,10,76,0,NULL,2015
652380,3990,PIT,7,2,28,58,0,NULL,2015
652381,3990,PIT,8,3,22,64,0,NULL,2015
652382,3990,PIT,9,4,12,74,0,NULL,2015
652383,3990,NE,1,1,10,34,0,93414,2015
652384,3990,NE,2,1,10,32,0,NULL,2015
652385,3990,NE,3,1,10,44,0,NULL,2015
652386,3990,NE,4,1,10,57,0,NULL,2015
652387,3990,NE,5,2,10,57,0,NULL,2015
652388,3990,NE,6,3,10,57,0,NULL,2015
652390,3990,PIT,1,1,10,7,0,93415,2015
652391,3990,PIT,2,2,4,13,0,NULL,2015
652392,3990,PIT,3,3,5,12,0,NULL,2015
652394,3990,PIT,4,1,15,17,0,NULL,2015
652395,3990,PIT,5,2,12,20,0,NULL,2015
652396,3990,PIT,6,3,18,14,0,NULL,2015
652398,3990,NE,1,1,10,10,0,93416,2015
652399,3990,NE,2,2,2,18,0,NULL,2015
652400,3990,NE,3,3,1,19,0,NULL,2015
652402,3990,NE,4,1,20,10,0,NULL,2015
652403,3990,NE,5,2,11,19,0,NULL,2015
652404,3990,NE,6,3,2,28,0,NULL,2015
652405,3990,NE,7,1,10,37,0,NULL,2015
652406,3990,NE,8,2,13,34,0,NULL,2015
652407,3990,NE,9,3,6,41,0,NULL,2015
652408,3990,NE,10,1,10,49,0,NULL,2015
652409,3990,NE,11,2,7,52,0,NULL,2015
652410,3990,NE,12,1,10,65,0,NULL,2015
652411,3990,NE,13,1,10,84,7,NULL,2015
652414,3990,PIT,1,1,10,20,0,93417,2015
652415,3990,PIT,2,2,8,22,0,NULL,2015
652416,3990,PIT,3,3,8,22,0,NULL,2015
652417,3990,PIT,4,1,10,65,0,NULL,2015
652418,3990,PIT,5,2,4,71,0,NULL,2015
652419,3990,PIT,6,3,3,72,0,NULL,2015
