game_id,team,turnover_diff
3456,BAL,-1
3456,DEN,1
3457,BUF,1
3457,NE,-1
3458,CHI,2
3458,CIN,-2
3459,CLE,-2
3459,MIA,2
3460,IND,2
3460,OAK,-2
3461,JAC,-2
3461,KC,2
3462,NYJ,0
3462,TB,0
3463,PIT,-2
3463,TEN,2
3464,ATL,-1
3464,NO,1
3465,CAR,0
3465,SEA,0
3466,DET,2
3466,MIN,-2
3467,GB,-2
3467,SF,2
3468,ARI,0
3468,STL,0
3469,DAL,4
3469,NYG,-4
3470,PHI,1
3470,WAS,-1
3471,HOU,0
3471,SD,0
3472,NE,4
3472,NYJ,-4
3473,DAL,-2
3473,KC,2
3474,ATL,1
3474,STL,-1
3475,PHI,2
3475,SD,-2
3476,HOU,-2
3476,TEN,2
3477,IND,0
3477,MIA,0
3478,BUF,-1
3478,CAR,1
3479,BAL,-1
3479,CLE,1
3480,GB,0
3480,WAS,0
3481,CHI,-2
3481,MIN,2
3482,NO,-1
3482,TB,1
3483,ARI,0
3483,DET,0
3484,JAC,1
3484,OAK,-1
3485,DEN,3
3485,NYG,-3
3486,SEA,3
3486,SF,-3
3487,CIN,2
3487,PIT,-2
3488,KC,4
3488,PHI,-4
3489,NE,0
3489,TB,0
3490,ARI,-1
3490,NO,1
3491,SD,0
3491,TEN,0
3492,CIN,0
3492,GB,0
3493,BAL,1
3493,HOU,-1
3494,CLE,-1
3494,MIN,1
3495,CAR,2
3495,NYG,-2
3496,DAL,0
3496,STL,0
3497,DET,1
3497,WAS,-1
3498,ATL,0
3498,MIA,0
3499,JAC,-1
3499,SEA,1
3500,IND,2
3500,SF,-2
3501,BUF,2
3501,NYJ,-2
3502,CHI,5
3502,PIT,-5
3503,DEN,-2
3503,OAK,2
3504,SF,0
3504,STL,0
3505,CHI,-1
3505,DET,1
3506,IND,2
3506,JAC,-2
3507,HOU,-1
3507,SEA,1
3508,CIN,-2
3508,CLE,2
3509,BAL,-2
3509,BUF,2
3510,MIN,2
3510,PIT,-2
3511,ARI,0
3511,TB,0
3512,KC,1
3512,NYG,-1
3513,NYJ,-4
3513,TEN,4
3514,DAL,0
3514,SD,0
3515,OAK,-2
3515,WAS,2
3516,DEN,0
3516,PHI,0
3517,ATL,-1
3517,NE,1
3518,MIA,-3
3518,NO,3
3519,BUF,-1
3519,CLE,1
3520,CIN,0
3520,NE,0
3521,BAL,-2
3521,MIA,2
3522,IND,1
